noun,BNC_frequency
sunday,9831
sambo,23
success,14177
star,9905
style,12444
shield,1551
stride,727
st,12080
sammy,296
site,15381
space,13728
spokesman,4217
service,54487
shore,2180
side,38389
string,3993
skill,12505
squad,2801
setback,599
spur,409
speed,7810
shaftesbury,128
shrub,851
sort,28022
seat,10457
summer,11276
setting,3977
study,32403
staff,22609
son,16027
season,12079
saturday,8543
second,9477
stadium,1082
stuttgart,297
single,1502
selector,582
superdrug,27
stake,2833
shirley,818
shepton,28
salisbury,798
sofia,168
secretary,16133
steaua,11
strike,4967
shirt,3382
sequence,5625
symmetry,814
start,8469
scenario,949
successor,1941
sign,10261
sceptic,287
striker,1735
skipper,1031
safe,356
sunderland,1385
slevin,9
switzerland,1523
saive,4
sen,204
sidler,1
scotland,13046
supporter,4396
stayaway,4
stub,134
swansong,32
snooker,464
sweet,1027
score,4399
strakosha,4
scare,351
sulejman,2
schmeichel,81
spain,4441
sampras,95
seed,3156
set,13826
session,6513
sanchez,150
seles,115
sukova,21
semi,184
slam,282
smiles,64
spaniard,352
snowball,137
stage,20018
steve,4337
staunton,75
scoring,731
slumber,116
slekys,2
stumbrys,2
stuff,6628
stauce,1
skarbalius,1
staliyna,1
spot,5328
sweden,1666
strabane,66
signet,112
sales,10347
scarbrough,3
shujan,4
sandown,87
sheikh,349
saxony,159
stitch,1599
specialist,5039
sprinter,234
surface,10195
stayers,6
souffle,39
stud,469
stifle,4
stack,835
spring,6190
sun,11188
swing,1465
stardom,132
show,10407
series,14228
survey,9690
stranglehold,93
street,23563
security,15634
snowstorm,62
scenery,749
sickness,1214
supply,9344
somerset,1295
surrey,1633
staffordshire,405
sussex,2095
staffs,88
september,10353
sight,7004
steeplechase,70
starter,669
sutton,943
sport,8780
shop,15053
scarth,19
sean,957
support,21263
stewart,2080
sydney,1006
shotgun,474
station,13598
shepherd,1355
sellafield,346
subject,25304
steel,4025
solitude,364
swift,479
saintfield,22
soccer,1322
suit,3723
szpiner,1
swales,99
shankill,88
share,16019
starting,1665
stamford,529
substitute,1376
suspension,1528
suggestion,5122
skirt,1883
sexuality,1389
store,5740
shoulder,8191
split,1013
slit,408
silhouette,333
scarf,691
shape,7963
stockist,210
seaside,555
steam,2812
society,27779
searcaigh,1
salt,3339
story,17804
shopping,2770
selection,6217
standard,15071
scholar,1785
scrum,380
sally,1406
stratum,548
stress,4199
stall,1370
stand,2554
squire,445
sheet,6386
smasher,21
supplement,1491
superfine,16
summerhill,34
snow,3417
skerry,30
skerries,11
simon,4190
scarborough,623
strangford,31
sawmill,61
sailor,1125
stokes,190
schoolteacher,187
sense,22298
stormont,176
stephanie,440
showbusiness,95
singer,2422
sunshine,1258
sea,13407
siegmund,4
strength,8061
situation,19545
statistician,155
sale,8982
south,22902
saunders,598
southall,194
symons,69
storm,2621
scot,1657
sharpe,767
sitter,177
scorecard,35
shearer,418
supplier,3152
spokeswoman,618
source,15507
spinner,414
springbok,176
stablemate,50
silverdale,18
song,6808
shocker,52
sharwood,13
silverware,64
susie,157
sloan,82
samways,26
shiela,9
section,22925
stevenson,462
samuel,1241
seskinore,3
sandra,715
safety,8518
smyth,235
speaker,10782
stratfords,1
snig,1
shean,5
southill,2
scrabo,4
spark,757
sparta,147
sarah,3254
school,52225
somers,43
sonny,210
smith,7945
silkstone,22
syd,101
sweep,565
swinger,35
shot,4962
salmon,1423
stealer,53
sponsorship,1235
system,61274
sir,18505
stick,2534
sword,1728
superiority,757
sporran,14
shaw,916
sweeney,230
strider,33
scene,8631
sydenham,58
sam,2803
sheen,213
suede,284
strap,799
shoe,4589
shade,2236
spice,621
sweater,728
splash,456
stone,11028
step,13417
sector,10976
showroom,363
scheme,16947
size,14226
selling,1231
specification,2095
servicing,256
selectcare,2
schweppe,11
semple,31
shane,179
spec,206
skateboard,76
seasider,43
sponsor,1201
stephen,3861
showground,42
structure,17963
sandstone,473
salvation,1110
scale,8821
stranmillis,16
student,22120
search,6472
struggle,4322
suffrage,361
smithwick,23
skyline,285
swimming,1764
scoreline,98
slump,579
smirnoff,16
strain,2817
scott,3107
stop,2400
state,43512
strang,54
shaun,415
seaview,34
simms,78
stringer,154
stock,9292
short,622
slovakia,230
schweppes,117
submission,1540
sheelagh,2
stroke,1889
swim,552
sara,1267
strandtown,3
spectator,1140
sickener,4
shota,1
spirit,8196
sub,531
stretch,1532
snapshot,262
standing,2760
seafarer,58
spell,1756
scilly,50
soup,1409
sproule,3
staging,256
salon,836
sunbed,23
supervision,1689
settlement,5841
sw,103
scoresheet,14
smoker,720
sr,147
saloon,667
spoiler,43
sacrifice,1060
steering,714
sunroof,56
sprint,294
stance,1826
shifting,148
shower,1932
snobbery,129
stereo,603
sound,12284
smoke,2707
switch,2017
sony,490
styling,378
stonebench,18
severn,681
suicide,1839
scanner,481
speculation,1837
sheila,940
sgt,310
steroid,247
spelman,9
stoney,33
scisasor,1
stem,1374
scrutineer,27
serviceman,325
stroud,366
saracen,181
shock,4313
seating,324
supt,229
shayle,9
surge,767
species,9563
specimen,2522
san,2512
stunt,296
studio,3318
sopwith,28
storyline,118
spying,71
suspense,201
swindon,2364
sheppard,150
smiths,712
scientist,5501
shis,1
sentence,8483
seminar,1930
sidebottom,11
serenity,165
solution,9329
solvent,903
stephens,286
slimbridge,67
stoke,596
singapore,945
sollis,3
sculptor,561
staverton,36
superintendent,931
spending,3649
shortage,2121
schoolboy,651
screen,5564
sister,9090
scar,718
suffering,1404
stable,930
sheriff,1022
sketch,1150
sack,1144
scunthorpe,108
sportsman,471
saddle,748
steward,1335
sullivan,375
sweetner,1
sailing,969
survivor,1090
statement,13866
soldier,5137
sandhurst,72
sandford,99
surgeon,1648
sow,208
spoilsport,24
silver,4660
springhill,23
sex,8859
scissors,435
states,8411
stratotanker,2
sheep,2987
shambles,205
squadron,1418
sqdn,13
sandie,46
strip,2331
suffolk,1159
suprise,8
sudent,1
status,8666
spencer,1339
sending,138
screamer,27
spurs,725
sharp,425
shoei,1
spin,571
